2023-12-18 17:12:841 INFO  LoginPage :69 - Enter UserName : Admin
2023-12-18 17:12:939 INFO  LoginPage :74 - Enter Password : admin123
2023-12-18 17:12:431 INFO  DashboardPage :29 - Getting text: [[ChromeDriver: chrome on windows (abbc8b098b772832b3d3c3e2b75445a6)] -> xpath: //h6[normalize-space()='Dashboard']]
2023-12-18 17:12:943 INFO  LoginPage :69 - Enter UserName : Admin
2023-12-18 17:12:40 INFO  LoginPage :74 - Enter Password : admin123
2023-12-18 17:12:759 INFO  LoginPage :79 - Click On loginButton : [[ChromeDriver: chrome on windows (c0942aa7a6245ad95272d29dd4896a9b)] -> xpath: //button[normalize-space()='Login']]
2023-12-18 17:12:219 INFO  DashboardPage :29 - Getting text: [[ChromeDriver: chrome on windows (c0942aa7a6245ad95272d29dd4896a9b)] -> xpath: //h6[normalize-space()='Dashboard']]
2023-12-18 17:12:256 INFO  LoginPage :79 - Click On loginButton : [[ChromeDriver: chrome on windows (9c2fdbd97439542cb76529993210dcea)] -> xpath: //button[normalize-space()='Login']]
2023-12-18 17:12:440 INFO  LoginPage :69 - Enter UserName : Admin
2023-12-18 17:12:528 INFO  LoginPage :74 - Enter Password : admin123
2023-12-18 17:12:600 INFO  LoginPage :79 - Click On loginButton : [[ChromeDriver: chrome on windows (33d681b0f4631eaab9b7524b1127afa6)] -> xpath: //button[normalize-space()='Login']]
2023-12-18 17:12:324 INFO  LoginPage :69 - Enter UserName : Admin
2023-12-18 17:12:413 INFO  LoginPage :74 - Enter Password : admin123
2023-12-18 17:12:478 INFO  LoginPage :79 - Click On loginButton : [[ChromeDriver: chrome on windows (bafae020a0b961608bcdf16a31e843db)] -> xpath: //button[normalize-space()='Login']]
2023-12-18 17:12:250 INFO  LoginPage :93 - Getting Text : [[ChromeDriver: chrome on windows (bafae020a0b961608bcdf16a31e843db)] -> xpath: //h5[@class='oxd-text oxd-text--h5 orangehrm-login-title']]
2023-12-19 12:12:117 INFO  LoginPage :84 - Enter UserName : [[ChromeDriver: chrome on windows (cc31906b100e7961b1bf6dd19dce26bb)] -> xpath: //input[@name='username']]
2023-12-19 12:12:202 INFO  LoginPage :89 - Enter password : [[ChromeDriver: chrome on windows (cc31906b100e7961b1bf6dd19dce26bb)] -> xpath: //input[@name='password']]
2023-12-19 12:12:238 INFO  LoginPage :94 - click On Login Button : [[ChromeDriver: chrome on windows (cc31906b100e7961b1bf6dd19dce26bb)] -> xpath: //button[normalize-space()='Login']]
2023-12-19 12:12:678 INFO  HomePage :67 - click On Admin Link : [[ChromeDriver: chrome on windows (cc31906b100e7961b1bf6dd19dce26bb)] -> xpath: //span[normalize-space()='Admin']]
2023-12-19 12:12:12 INFO  ViewSystemUsersPage :99 - verify System User Text : [[ChromeDriver: chrome on windows (cc31906b100e7961b1bf6dd19dce26bb)] -> xpath: //h5[normalize-space()='System Users']]
2023-12-19 12:12:514 INFO  AddUserPage :134 - Click On Add Button : [[ChromeDriver: chrome on windows (cc31906b100e7961b1bf6dd19dce26bb)] -> xpath: //button[normalize-space()='Add']]
2023-12-19 12:12:265 INFO  ViewSystemUsersPage :99 - verify System User Text : Proxy element for: DefaultElementLocator 'By.xpath: //h5[normalize-space()='System Users']'
